Headline,Publication,Summary,Date
United States : Governor Ron DeSantis Announces Plan for Expansion of Floridas Electric Vehicle Infrastructure,"TendersInfo, 967 words",,7/25/2019
U.S. equities are weaker,"Action Economics Alerts, 268 words",,7/24/2019
"US Futures Mixed Ahead of Earnings, Data","MT Newswires Live Briefs, 191 words",,7/25/2019
USPTO ISSUES TRADEMARK: AMAZING SCIENCE,"US Fed News, 243 words",,7/25/2019
"US stocks edge lower, retreating from records","Agence France Presse -- English, 211 words",,7/25/2019
"US Stocks Slip Due in Part to Disappointing Corporate Earnings of Index Heavyweights, Mixed ECB Policy Signals","MT Newswires Live Briefs, 107 words",,7/25/2019
Viking Fund Management LLC Decreases Stake in SemGroup Corp (NYSE:SEMG),"American Banking and Market News, 776 words",,7/25/2019
Virgin Hyperloop One to develop world's longest test track in Saudi Arabia,"The National, 502 words",,7/23/2019
Wall Street drops on earnings as euro swings on ECB rhetoric," FT.com, 536 words",,7/25/2019
"Wall Street Sees Mixed Open Amid Earnings, Data","MT Newswires Live Briefs, 376 words",,7/25/2019
"Wall Street Slips Pre-Bell; Futures Off, Europe Mixed, Asia Up","MT Newswires Live Briefs PRO, 629 words",,7/25/2019
Watch Ford's electric F-150 tow a million+ pounds like nobody's business,"TheNextWeb.com, 340 words",,7/23/2019
Watch Ford's electric F-150 tow a million+ pounds like nobody's business,"IT Next, 320 words",,7/24/2019
Why bother with green manufacturing?,"India Engineering news, 583 words",,7/24/2019
Why Marketers Should Care About Consumer Perception of Corporate Social Responsibility,"adweek.com, NEWS; TAG, 1164 words",,7/25/2019
Why Silicon Valley is in two minds about Mars," FT.com, 721 words",,7/24/2019
Wine column: B.C.'s Similkameen Valley offers largely undiscovered wine destination,"Postmedia Breaking News, FOOD, 934 words",,7/25/2019
"With funding increasingly tenuous, Cumberland County discusses transit options","The Sentinel (Carlisle, Pennsylvania), STATE AND REGIONAL NEWS, 1076 words",,7/24/2019
Zacks Investment Research Downgrades Ultra Clean (NASDAQ:UCTT) to Sell,"Highlight Press, 1218 words",,7/24/2019
Zweig DiMenna Associates LLC Buys New Shares in NVIDIA Co. (NASDAQ:NVDA),"American Banking and Market News, 920 words",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Connecticut PostNEWS753 wordsAp Business Writer Updated 5:48 pm EDT, Wednesday, July 24, 2019 In this July 19, 2019, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday, July 24, 2019. In this July 19, 2019, photo a Te... Ap Business Writer Updated 5:48 pm EDT, Wednesday, July 24, 2019...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Jacksonville Journal CourierNEWS298 wordsIn this July 19, 2019, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday, July 24, 2019. In this July 19,...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Las Vegas SunNEWS656 wordsChuck Burton / AP In this July 19, 2019, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday, July 24, 2019. By Michael Liedtke, Associated Press Wednesday, July 24, 2019 | 2:53 p.m. SAN FR... Chuck Burton / AP In this July 19, 2019, photo a Tesla...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Journal-GazetteNEWS555 words, photo people wait inside their Tesla vehicles at a Tesla Supercharger site in Charlotte, N.C. (AP Photo/Chuck Burton) SAN FRANCISCO – Tesla lost $408 million in its latest quarter as it struggles to prove it can make money selling electric cars at mass-m... , photo people wait inside their Tesla vehicles at a Tesla Supercharger site...",,7/25/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Albuquerque JournalNEWS754 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday, July 24, 2019. (AP Photo/Chuck Burton) .......... .......... .......... .......... .......... .......... .......... .......... .......... , photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday, July 24,...",,7/25/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","MySanAntonioNEWS298 wordsIn this July 19, 2019, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday, July 24, 2019. In this July 19,...",,7/24/2019
"Tesla Posts $408M Loss in 2Q, Causing Stock to Plummet","NBC Los AngelesNEWS709 wordsTesla lost $408 million in its latest quarter as it struggles to prove it can make money selling electric cars at mass-market prices. The setback announced Wednesday had already been telegraphed by Tesla CEO Elon Musk. Still, it underscored Tesla’s ongoing... Tesla lost $408 million in its latest quarter as it struggles to prove it can make...",,7/25/2019
"Tesla Posts $408M Loss In 2Q, Causing Stock To Plummet","CBS Chicago.comNEWS757 words(AP) — Tesla lost $408 million in its latest quarter as it struggles to prove it can make money selling electric cars at mass-market prices. The setback had already been telegraphed by Tesla CEO Elon Musk. Still, it underscored Tesla’s ongoing challenges a... (AP) — Tesla lost $408 million in its latest quarter as it struggles to...",,7/25/2019
"Tesla posts $408 million loss in second quarter, causing stock to plummet","Boston.comNEWS700 wordsSAN FRANCISCO (AP) — Tesla lost $408 million in its latest quarter as it struggles to prove it can make money selling electric cars at mass-market prices. The setback announced Wednesday had already been telegraphed by Tesla CEO Elon Musk. Still, it unders... SAN FRANCISCO (AP) — Tesla lost $408 million in its latest quarter as it...",,7/25/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","seattlepi.comNEWS225 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday, July 24, 2019....",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Chron.comNEWS225 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday, July 24, 2019....",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Alton TelegraphNEWS240 wordsIn this July 19, 2019, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday, July...",,7/24/2019
Tesla stock plummets after $408M loss in 2Q,KTVUNEWS615 wordsSAN FRANCISCO (AP) - Tesla suffered a loss of $408 million during its latest quarter as the company continues to struggle to prove it can make money while producing electric cars at prices that a mass market can afford. The setback announced Wednesday had ... SAN FRANCISCO (AP) - Tesla suffered a loss of $408 million during...,,7/26/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","South Carolina StateNEWS197 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday,...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Merced Sun-StarNEWS197 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday,...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","San Luis Obispo.comNEWS197 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday,...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Raleigh News & ObserverNEWS194 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday,...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Miami HeraldNEWS197 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday,...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","KansasCity.comNEWS197 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday,...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Kentucky.comNEWS197 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday,...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Sacramento BeeNEWS197 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday,...",,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet","Fresno BeeNEWS197 words, photo a Tesla vehicle charges at a Tesla Supercharger site in Charlotte, N.C. Tesla, Inc. reports earning on Wednesday,...",,7/24/2019
Tesla stock plummets after announcing $408M loss in 2Q,KTVUNEWS615 wordsSAN FRANCISCO (AP) - Tesla suffered a loss of $408 million during its latest quarter as the company continues to struggle to prove it can make money while producing electric cars at prices that a mass market can afford. The setback announced Wednesday had ... SAN FRANCISCO (AP) - Tesla suffered a loss of $408 million during...,,7/24/2019
Tesla's still bleeding money and now its stock is dropping too,"KVIA.comNEWS540 wordsCar maker lost $408 million in one quarter PALO ALTO, Calif. - Even after delivering a record number of cars in its second quarter, Tesla is still bleeding money. Tesla said Wednesday that it lost $408 million during the three months ending in June, far wo... Car maker lost $408 million in one quarter...",,7/26/2019
Tesla posts deeper than expected loss as profit margins fall,FT.com Headlines716 words,,7/25/2019
San Francisco police investigate if rented Tesla in deadly crash was in ‘Autopilot’,The Mercury NewsNEWS298 wordsSAN FRANCISCO (AP) — A woman was arrested after running a red light in a rented Tesla in San Francisco and causing a crash that killed a tourist and left...,,7/23/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet",East Bay TimesNEWS171 wordsSAN FRANCISCO (AP) — Tesla suffered a loss of $408 million during its latest quarter as the company...,,7/24/2019
"Tesla posts $408M loss in 2Q, causing stock to plummet",San Francisco ChronicleNEWS171 wordsSAN FRANCISCO (AP) — Tesla suffered a loss of $408 million during its latest quarter as the company...,,7/24/2019
Police investigate if Tesla was self-driving during crash,KHQA 7 OnlineNEWS108 wordsSAN FRANCISCO (AP) — A woman was arrested after running a...,,7/23/2019
Police investigate if Tesla was self-driving during crash,WICS ABC Newschannel 20NEWS90 wordsSAN FRANCISCO (AP) — A woman was arrested after...,,7/23/2019
Tesla: 2Q Earnings Snapshot,"Edwardsville IntelligencerNEWS204 wordsPALO ALTO, Calif. (AP) _ Tesla Inc. (TSLA) on Wednesday reported a loss of $408.3 million in its second quarter....",,7/24/2019
Tesla: 2Q Earnings Snapshot,"Alton TelegraphNEWS204 wordsPALO ALTO, Calif. (AP) _ Tesla Inc. (TSLA) on Wednesday reported a loss of $408.3 million in its second quarter....",,7/24/2019
Tesla: 2Q Earnings Snapshot,"San Mateo Daily JournalNEWS172 wordsPALO ALTO, Calif. (AP) — Tesla Inc. (TSLA) on Wednesday reported a loss of $408.3 million in its...",,7/24/2019
Tesla: 2Q Earnings Snapshot,"San Francisco ChronicleNEWS204 wordsPALO ALTO, Calif. (AP) _ Tesla Inc. (TSLA) on Wednesday reported a loss of $408.3 million in its second quarter....",,7/24/2019
Tesla: 2Q Earnings Snapshot,"Omaha World-HeraldNEWS172 wordsPALO ALTO, Calif. (AP) — Tesla Inc. (TSLA) on Wednesday reported a loss of $408.3 million in its...",,7/24/2019
Tesla: 2Q Earnings Snapshot,"Chron.comNEWS204 wordsPALO ALTO, Calif. (AP) _ Tesla Inc. (TSLA) on Wednesday reported a loss of $408.3 million in its second quarter....",,7/24/2019
Tesla: 2Q Earnings Snapshot,"MySanAntonioNEWS204 wordsPALO ALTO, Calif. (AP) _ Tesla Inc. (TSLA) on Wednesday reported a loss of $408.3 million in its second quarter....",,7/24/2019
Tesla: 2Q Earnings Snapshot,"seattlepi.comNEWS204 wordsPALO ALTO, Calif. (AP) _ Tesla Inc. (TSLA) on Wednesday reported a loss of $408.3 million in its second quarter....",,7/24/2019
Police say car in fatal crash was not partially self-driving,"Connecticut PostNEWS520 wordsFILE - This Sunday, July 21, 2019 file photo, and provided by KGO-TV shows the scene after a woman was arrested after running a red light in a rented Tesla in San Francisco and causing a crash that killed a tourist and left his wife critically injured. San... FILE - This Sunday, July 21, 2019...",,7/24/2019
A father has died and a mother remains hospitalized. This Clovis family asks for help,Fresno BeeNEWS666 words10 tips for pedestrians to stay out of harm’s way in an automotive world It's good to review tips to keep pedestrians safe to remind ourselves how to get where we're going safely. By Up Next × COPY LINK It's good to review tips to keep pedestrians safe to ... 10 tips for pedestrians to stay out...,,7/28/2019
"It's time for the Governor's Office of Economic Development to go, says Fellner","Reno Gazette-JournalNEWS685 wordsCLOSE Chris Lister, vice president of operations of the Tesla Gigafactory, provides insight during a tour on Dec. 3, 2018. Benjamin Spillman, bspillman@rgj.com Subscribe: Get local news and views with an online subscription to RGJ.com The RGJ’s recent repo... CLOSE Chris Lister, vice president of operations of the Tesla Gigafactory, provides insight during a tour on Dec....",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"MySanAntonioNEWS1467 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Electric vehicles gain slow momentum in North Dakota,"Raleigh News & ObserverNEWS1376 wordsphoto, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside a Tesla Model X electric car at their headquarters in Bismarck, N.D. While the state ranks near last in the nation for electric vehicle adoption, interest is starting ... photo, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside...",,7/27/2019
Electric vehicles gain slow momentum in North Dakota,"Star-TelegramNEWS1379 wordsphoto, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside a Tesla Model X electric car at their headquarters in Bismarck, N.D. While the state ranks near last in the nation for electric vehicle adoption, interest is starting ... photo, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside...",,7/27/2019
Electric vehicles gain slow momentum in North Dakota,"South Carolina StateNEWS1379 wordsphoto, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside a Tesla Model X electric car at their headquarters in Bismarck, N.D. While the state ranks near last in the nation for electric vehicle adoption, interest is starting ... photo, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside...",,7/27/2019
Electric vehicles gain slow momentum in North Dakota,"Miami HeraldNEWS1379 wordsphoto, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside a Tesla Model X electric car at their headquarters in Bismarck, N.D. While the state ranks near last in the nation for electric vehicle adoption, interest is starting ... photo, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside...",,7/27/2019
Electric vehicles gain slow momentum in North Dakota,"Sacramento BeeNEWS1379 wordsphoto, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside a Tesla Model X electric car at their headquarters in Bismarck, N.D. While the state ranks near last in the nation for electric vehicle adoption, interest is starting ... photo, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside...",,7/27/2019
Electric vehicles gain slow momentum in North Dakota,"Fresno BeeNEWS1379 wordsphoto, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside a Tesla Model X electric car at their headquarters in Bismarck, N.D. While the state ranks near last in the nation for electric vehicle adoption, interest is starting ... photo, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside...",,7/27/2019
Electric vehicles gain slow momentum in North Dakota,"San Luis Obispo.comNEWS1379 wordsphoto, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside a Tesla Model X electric car at their headquarters in Bismarck, N.D. While the state ranks near last in the nation for electric vehicle adoption, interest is starting ... photo, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside...",,7/27/2019
Electric vehicles gain slow momentum in North Dakota,"KansasCity.comNEWS1379 wordsphoto, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside a Tesla Model X electric car at their headquarters in Bismarck, N.D. While the state ranks near last in the nation for electric vehicle adoption, interest is starting ... photo, Jason Bohrer, president and CEO of the North Dakota Energy Council, stands beside...",,7/27/2019
Tax breaks for big corporations drawing new look in Nevada,"South Carolina StateNEWS1241 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Merced Sun-StarNEWS1241 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Chron.comNEWS1296 wordsImage 1 of 3 FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions o... Image 1 of 3 FILE - In this Sept. 4, 2014, file photo, Nevada...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Alton TelegraphNEWS1305 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"San Luis Obispo.comNEWS1241 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Kentucky.comNEWS1241 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Sacramento BeeNEWS1241 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"seattlepi.comNEWS1294 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Star-TelegramNEWS1241 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Fresno BeeNEWS1241 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Miami HeraldNEWS1241 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"KansasCity.comNEWS1241 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Raleigh News & ObserverNEWS1239 wordsFILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve Hill, executive director of the governor's office of Economic Development, and Elon Musk, Chairman and CEO of Tesla, laugh while answering reporters' questions on the steps o... FILE - In this Sept. 4, 2014, file photo, Nevada Gov. Brian Sandoval, left, Steve...",,7/26/2019
Police say car in fatal crash was not partially self-driving,San Francisco ChronicleNEWS175 wordsSAN FRANCISCO (AP) — San Francisco police say preliminary information shows a rented Tesla that was speeding...,,7/24/2019
Jaguar F-Pace SVR out-growls the Jaguar EV,"Journal Gazette and Times CourierNEWS1218 wordsConventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell my neighbors. When I arrived at their house with the 2019 Jaguar F-Pace SVR, the supercharged V-8 shook the foundation like a California earthquake. Kids... Conventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell...",,7/26/2019
Jaguar F-Pace SVR out-growls the Jaguar EV,"Lompoc Record OnlineNEWS1222 wordsConventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell my neighbors. When I arrived at their house with the 2019 Jaguar F-Pace SVR, the supercharged V-8 shook the foundation like a California earthquake. Kids... Conventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell...",,7/26/2019
Jaguar F-Pace SVR out-growls the Jaguar EV,"Santa Ynez Valley NewsNEWS1174 wordsConventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell my neighbors. When I arrived at their house with the 2019 Jaguar F-Pace SVR, the supercharged V-8 shook the foundation like a California earthquake. Kids... Conventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell...",,7/26/2019
Jaguar F-Pace SVR out-growls the Jaguar EV,"Herald & ReviewNEWS1213 wordsConventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell my neighbors. When I arrived at their house with the 2019 Jaguar F-Pace SVR, the supercharged V-8 shook the foundation like a California earthquake. Kids... Conventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell...",,7/26/2019
Jaguar F-Pace SVR out-growls the Jaguar EV,"NWI TimesNEWS1215 wordsConventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell my neighbors. When I arrived at their house with the 2019 Jaguar F-Pace SVR, the supercharged V-8 shook the foundation like a California earthquake. Kids... Conventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell...",,7/26/2019
Jaguar F-Pace SVR out-growls the Jaguar EV,"QC TimesNEWS760 wordsConventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell my neighbors. When I arrived at their house with the 2019 Jaguar F-Pace SVR, the supercharged V-8 shook the foundation like a California earthquake. Kids... Conventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell...",,7/26/2019
Jaguar F-Pace SVR out-growls the Jaguar EV,"Santa Maria TimesNEWS1201 wordsConventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell my neighbors. When I arrived at their house with the 2019 Jaguar F-Pace SVR, the supercharged V-8 shook the foundation like a California earthquake. Kids... Conventional wisdom these days is that the next generation wants electric cars. Someone forgot to tell...",,7/26/2019
"Seattle man arrested for damaging vehicles, attacking officer with sunroof","Atlanta Journal And ConstitutionNEWS359 wordsSEATTLE — A man in his 20s was arrested after police said he allegedly damaged several vehicles and attacked a parking enforcement officer with a sunroof in downtown Seattle. Just before 5:45 p.m. Thursday, multiple eastbound vehicles...",,7/27/2019
Tax breaks for big corporations drawing new look in Nevada,"San Francisco ChronicleNEWS1134 wordsRENO, Nev. (AP) — It was a different time. That's what Nevada lawmakers say when asked about massive, recession-era tax breaks approved for companies such as Tesla, Amazon and Apple. It's also what legislators tend to say when defending new efforts to rein... RENO, Nev. (AP) — It was a different time. That's what Nevada lawmakers say...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Modesto BeeNEWS1122 wordsRENO, Nev. It was a different time. That's what Nevada lawmakers say when asked about massive, recession-era tax breaks approved for companies such as Tesla, Amazon and Apple. It's also what legislators tend to say when defending new efforts to rein in inc... RENO, Nev. It was a different time. That's what Nevada lawmakers say when asked...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Belleville News DemocratNEWS1122 wordsRENO, Nev. It was a different time. That's what Nevada lawmakers say when asked about massive, recession-era tax breaks approved for companies such as Tesla, Amazon and Apple. It's also what legislators tend to say when defending new efforts to rein in inc... RENO, Nev. It was a different time. That's what Nevada lawmakers say when asked...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"The OlympianNEWS1120 wordsIt was a different time. That's what Nevada lawmakers say when asked about massive, recession-era tax breaks approved for companies such as Tesla, Amazon and Apple. It's also what legislators tend to say when defending new efforts to rein in incentives now... It was a different time. That's what Nevada lawmakers say when asked about massive, recession-era...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Edwardsville IntelligencerNEWS1134 wordsRENO, Nev. (AP) — It was a different time. That's what Nevada lawmakers say when asked about massive, recession-era tax breaks approved for companies such as Tesla, Amazon and Apple. It's also what legislators tend to say when defending new efforts to rein... RENO, Nev. (AP) — It was a different time. That's what Nevada lawmakers say...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Washington TimesNEWS1134 wordsRENO, Nev. (AP) - It was a different time. That’s what Nevada lawmakers say when asked about massive, recession-era tax breaks approved for companies such as Tesla, Amazon and Apple. It’s also what legislators tend to say when defending new efforts to rein... RENO, Nev. (AP) - It was a different time. That’s what Nevada lawmakers say...",,7/26/2019
Tax breaks for big corporations drawing new look in Nevada,"Sun HeraldNEWS1122 wordsRENO, Nev. It was a different time. That's what Nevada lawmakers say when asked about massive, recession-era tax breaks approved for companies such as Tesla, Amazon and Apple. It's also what legislators tend to say when defending new efforts to rein in inc... RENO, Nev. It was a different time. That's what Nevada lawmakers say when asked...",,7/26/2019
Police investigate if crashed car was partially self-driving,"Akron Beacon JournalNEWS124 wordsSAN FRANCISCO (AP) "" A woman was arrested after running a red...",,7/23/2019
Electric vehicles gain slow momentum in North Dakota,"Roanoke TimesNEWS1305 wordsBISMARCK, N.D. (AP) — Step on the accelerator in Capital Electric Cooperative's new Chevrolet Bolt and it, literally, bolts forward. ""They're really snappy, quick and fun to drive,"" said Energy Services Supervisor Josh Schaffner as he demonstrated on the r... BISMARCK, N.D. (AP) — Step on the accelerator in Capital Electric Cooperative's new Chevrolet Bolt and it,...",,7/27/2019
Electric vehicles gain slow momentum in North Dakota,"The OlympianNEWS1310 wordsStep on the accelerator in Capital Electric Cooperative's new Chevrolet Bolt and it, literally, bolts forward. ""They're really snappy, quick and fun to drive,"" said Energy Services Supervisor Josh Schaffner as he demonstrated on the road next to his office... Step on the accelerator in Capital Electric Cooperative's new Chevrolet Bolt and it, literally, bolts forward. ""They're...",,7/27/2019
Electric vehicles gain slow momentum in North Dakota,"Sun HeraldNEWS1313 wordsBISMARCK, N.D. Step on the accelerator in Capital Electric Cooperative's new Chevrolet Bolt and it, literally, bolts forward. ""They're really snappy, quick and fun to drive,"" said Energy Services Supervisor Josh Schaffner as he demonstrated on the road nex... BISMARCK, N.D. Step on the accelerator in Capital Electric Cooperative's new Chevrolet Bolt and it, literally, bolts forward....",,7/27/2019
